Year,Home_Team,HTScore,Away_Team,ATScore,Winner,Winning_score,Loser,Losing_score,Draw
1998,"
Newcastle Falcons ",27," Wasps
",19,"
Newcastle Falcons ",27," Wasps
",19,0

1998,"
Saracens ",22," Leicester Tigers
",10,"
Saracens ",22," Leicester Tigers
",10,0

1998,"
Harlequins ",41," Saracens
",28,"
Harlequins ",41," Saracens
",28,0

1998,"
Gloucester Rugby ",41," Newcastle Falcons
",32,"
Gloucester Rugby ",41," Newcastle Falcons
",32,0

1998,"
Leicester Tigers ",31," Sale Sharks
",15,"
Leicester Tigers ",31," Sale Sharks
",15,0

1998,"
Northampton Saints ",34," Bedford Blues
",29,"
Northampton Saints ",34," Bedford Blues
",29,0

1998,"
West Hartlepool ",20," Bath Rugby
",50," Bath Rugby
",50,"
West Hartlepool ",20,0

1998,"
Wasps ",22," Richmond
",27," Richmond
",27,"
Wasps ",22,0

1998,"
Harlequins ",39,"Gloucester Rugby
",7 ,"Gloucester Rugby
",7 ,"
Harlequins ",39,0

1998,"
London Irish ",24," Leicester Tigers
",23,"
London Irish ",24," Leicester Tigers
",23,0

1998,"
West Hartlepool", 3," Saracens
",52,"
West Hartlepool", 3," Saracens
",52,0

1998,"
Wasps ",35," Bedford Blues
",19,"
Wasps ",35," Bedford Blues
",19,0

1998,"
Leicester Tigers ",27,"Richmond
",0 ,"
Leicester Tigers ",27,"Richmond
",0 ,0

1998,"
Bath Rugby ",27,"Sale Sharks
",3 ,"Sale Sharks
",3 ,"
Bath Rugby ",27,0

1998,"
Bedford Blues ",22," Newcastle Falcons
",29," Newcastle Falcons
",29,"
Bedford Blues ",22,0

1998,"
Harlequins ",25," West Hartlepool
",10,"
Harlequins ",25," West Hartlepool
",10,0

1998,"
London Irish ",10," Northampton Saints
",26," Northampton Saints
",26,"
London Irish ",10,0

1998,"
Gloucester Rugby ",29," London Scottish
",16,"
Gloucester Rugby ",29," London Scottish
",16,0

1998,"
Saracens ",17," Wasps
",31," Wasps
",31,"
Saracens ",17,0

1998,"
Sale Sharks ",10," Richmond
",39," Richmond
",39,"
Sale Sharks ",10,0

1998,"
Newcastle Falcons ",43," Saracens
",12,"
Newcastle Falcons ",43," Saracens
",12,0

1998,"
London Scottish ",13," Bath Rugby
",11,"
London Scottish ",13," Bath Rugby
",11,0

1998,"
Northampton Saints ",22,"Gloucester Rugby
",8 ,"Gloucester Rugby
",8 ,"
Northampton Saints ",22,0

1998,"
Richmond ",38," Bedford Blues
",32,"
Richmond ",38," Bedford Blues
",32,0

