Year,WP1,HWP,AWP,APPG1,WP2,HWP2,AWP2,APPG2,Score,Winner,WPT,HWPT,AWPT,APPG
1998,40.0,50.0,30.769,21.2,54.0,61.538,46.154,27.038,7,0,-14.0,-11.538,-15.385,-5.838
1998,73.0,92.308,53.846,29.654,68.0,75.0,61.538,26.32,34,0,5.0,17.308,-7.692,3.334
1998,27.0,53.846,0.0,18.885,40.0,53.846,25.0,22.84,5,0,-13.0,0.0,-25.0,-3.955
1998,60.0,69.231,50.0,29.32,65.0,69.231,61.538,29.0,27,0,-5.0,0.0,-11.538,0.32
1998,54.0,84.615,23.077,27.654,62.0,76.923,46.154,26.846,2,0,-8.0,7.692,-23.077,0.808
1998,27.0,53.846,0.0,18.885,73.0,92.308,53.846,29.654,-35,1,-46.0,-38.462,-53.846,-10.769
1998,65.0,69.231,61.538,29.0,68.0,75.0,61.538,26.32,19,0,-3.0,-5.769,0.0,2.68
1998,46.0,46.154,45.455,23.667,40.0,50.0,30.769,21.2,-3,1,6.0,-3.846,14.686,2.467
1998,40.0,53.846,25.0,22.84,27.0,46.154,7.692,20.808,18,0,13.0,7.692,17.308,2.032
1998,32.0,50.0,15.385,18.72,54.0,61.538,46.154,27.038,-24,1,-22.0,-11.538,-30.769,-8.318
1998,73.0,92.308,53.846,29.654,65.0,69.231,61.538,29.0,10,0,8.0,23.077,-7.692,0.654
1998,62.0,76.923,46.154,26.846,46.0,46.154,45.455,23.667,22,0,16.0,30.769,0.699,3.179
1998,27.0,46.154,7.692,20.808,27.0,53.846,0.0,18.885,8,0,0.0,-7.692,7.692,1.923
1998,54.0,61.538,46.154,27.038,52.0,66.667,38.462,28.08,-12,1,2.0,-5.129,7.692,-1.042
1998,40.0,50.0,30.769,21.2,32.0,50.0,15.385,18.72,33,0,8.0,0.0,15.384,2.48
1998,60.0,69.231,50.0,29.32,40.0,53.846,25.0,22.84,17,0,20.0,15.385,25.0,6.48
1998,27.0,46.154,7.692,20.808,73.0,92.308,53.846,29.654,-9,1,-46.0,-46.154,-46.154,-8.846
1998,62.0,76.923,46.154,26.846,40.0,50.0,30.769,21.2,5,0,22.0,26.923,15.385,5.646
1998,27.0,53.846,0.0,18.885,60.0,69.231,50.0,29.32,-38,1,-33.0,-15.385,-50.0,-10.435
1998,40.0,53.846,25.0,22.84,68.0,75.0,61.538,26.32,10,0,-28.0,-21.154,-36.538,-3.48
1998,54.0,84.615,23.077,27.654,54.0,61.538,46.154,27.038,-2,1,0.0,23.077,-23.077,0.616
1998,52.0,66.667,38.462,28.08,32.0,50.0,15.385,18.72,57,0,20.0,16.667,23.077,9.36
1998,40.0,50.0,30.769,21.2,52.0,66.667,38.462,28.08,-1,1,-12.0,-16.667,-7.693,-6.88
1998,62.0,76.923,46.154,26.846,27.0,46.154,7.692,20.808,38,0,35.0,30.769,38.462,6.038
1998,68.0,75.0,61.538,26.32,27.0,53.846,0.0,18.885,2,0,41.0,21.154,61.538,7.435
1998,54.0,61.538,46.154,27.038,46.0,46.154,45.455,23.667,-4,1,8.0,15.384,0.699,3.371
1998,65.0,69.231,61.538,29.0,40.0,53.846,25.0,22.84,20,0,25.0,15.385,36.538,6.16
1998,32.0,50.0,15.385,18.72,54.0,84.615,23.077,27.654,-5,1,-22.0,-34.615,-7.692,-8.934
1998,62.0,76.923,46.154,26.846,54.0,61.538,46.154,27.038,3,0,8.0,15.385,0.0,-0.192
1998,27.0,46.154,7.692,20.808,68.0,75.0,61.538,26.32,2,0,-41.0,-28.846,-53.846,-5.512
1998,46.0,46.154,45.455,23.667,32.0,50.0,15.385,18.72,18,0,14.0,-3.846,30.07,4.947
1998,27.0,53.846,0.0,18.885,65.0,69.231,61.538,29.0,-11,1,-38.0,-15.385,-61.538,-10.115
1998,54.0,84.615,23.077,27.654,52.0,66.667,38.462,28.08,8,0,2.0,17.948,-15.385,-0.426
1998,60.0,69.231,50.0,29.32,73.0,92.308,53.846,29.654,12,0,-13.0,-23.077,-3.846,-0.334
1998,68.0,75.0,61.538,26.32,60.0,69.231,50.0,29.32,13,0,8.0,5.769,11.538,-3.0
1998,40.0,50.0,30.769,21.2,54.0,84.615,23.077,27.654,9,0,-14.0,-34.615,7.692,-6.454
1998,73.0,92.308,53.846,29.654,40.0,53.846,25.0,22.84,16,0,33.0,38.462,28.846,6.814
1998,65.0,69.231,61.538,29.0,27.0,46.154,7.692,20.808,5,0,38.0,23.077,53.846,8.192
1998,32.0,50.0,15.385,18.72,62.0,76.923,46.154,26.846,-30,1,-30.0,-26.923,-30.769,-8.126
1998,52.0,66.667,38.462,28.08,46.0,46.154,45.455,23.667,-5,1,6.0,20.513,-6.993,4.413
1998,68.0,75.0,61.538,26.32,40.0,50.0,30.769,21.2,32,0,28.0,25.0,30.769,5.12
1998,54.0,61.538,46.154,27.038,73.0,92.308,53.846,29.654,1,0,-19.0,-30.77,-7.692,-2.616
1998,32.0,50.0,15.385,18.72,60.0,69.231,50.0,29.32,-49,1,-28.0,-19.231,-34.615,-10.6
1998,52.0,66.667,38.462,28.08,27.0,46.154,7.692,20.808,16,0,25.0,20.513,30.77,7.272
1998,73.0,92.308,53.846,29.654,46.0,46.154,45.455,23.667,27,0,27.0,46.154,8.391,5.987
1998,62.0,76.923,46.154,26.846,40.0,53.846,25.0,22.84,24,0,22.0,23.077,21.154,4.006
1998,27.0,46.154,7.692,20.808,54.0,84.615,23.077,27.654,-7,1,-27.0,-38.461,-15.385,-6.846
1998,68.0,75.0,61.538,26.32,32.0,50.0,15.385,18.72,15,0,36.0,25.0,46.153,7.6
1998,54.0,61.538,46.154,27.038,65.0,69.231,61.538,29.0,-16,1,-11.0,-7.693,-15.384,-1.962
1998,40.0,50.0,30.769,21.2,27.0,53.846,0.0,18.885,13,0,13.0,-3.846,30.769,2.315
1998,60.0,69.231,50.0,29.32,52.0,66.667,38.462,28.08,-14,1,8.0,2.564,11.538,1.24
1998,40.0,53.846,25.0,22.84,46.0,46.154,45.455,23.667,-29,1,-6.0,7.692,-20.455,-0.827
1998,54.0,84.615,23.077,27.654,60.0,69.231,50.0,29.32,31,0,-6.0,15.384,-26.923,-1.666
1998,27.0,53.846,0.0,18.885,62.0,76.923,46.154,26.846,2,0,-35.0,-23.077,-46.154,-7.961
1998,65.0,69.231,61.538,29.0,40.0,50.0,30.769,21.2,14,0,25.0,19.231,30.769,7.8
1998,46.0,46.154,45.455,23.667,27.0,46.154,7.692,20.808,6,0,19.0,0.0,37.763,2.859
1998,52.0,66.667,38.462,28.08,68.0,75.0,61.538,26.32,-1,1,-16.0,-8.333,-23.076,1.76
1998,32.0,50.0,15.385,18.72,73.0,92.308,53.846,29.654,-30,1,-41.0,-42.308,-38.461,-10.934
1998,73.0,92.308,53.846,29.654,62.0,76.923,46.154,26.846,23,0,11.0,15.385,7.692,2.808
1998,40.0,50.0,30.769,21.2,27.0,46.154,7.692,20.808,10,0,13.0,3.846,23.077,0.392
1998,68.0,75.0,61.538,26.32,54.0,84.615,23.077,27.654,5,0,14.0,-9.615,38.461,-1.334
1998,54.0,61.538,46.154,27.038,40.0,53.846,25.0,22.84,-6,1,14.0,7.692,21.154,4.198
1998,65.0,69.231,61.538,29.0,52.0,66.667,38.462,28.08,5,0,13.0,2.564,23.076,0.92
1998,60.0,69.231,50.0,29.32,46.0,46.154,45.455,23.667,16,0,14.0,23.077,4.545,5.653
1998,40.0,53.846,25.0,22.84,32.0,50.0,15.385,18.72,16,0,8.0,3.846,9.615,4.12
1998,27.0,53.846,0.0,18.885,54.0,61.538,46.154,27.038,-6,1,-27.0,-7.692,-46.154,-8.153
1998,27.0,46.154,7.692,20.808,60.0,69.231,50.0,29.32,-5,1,-33.0,-23.077,-42.308,-8.512
1998,54.0,84.615,23.077,27.654,65.0,69.231,61.538,29.0,10,0,-11.0,15.384,-38.461,-1.346
1998,52.0,66.667,38.462,28.08,73.0,92.308,53.846,29.654,28,0,-21.0,-25.641,-15.384,-1.574
1998,65.0,69.231,61.538,29.0,46.0,46.154,45.455,23.667,17,0,19.0,23.077,16.083,5.333
1998,40.0,50.0,30.769,21.2,60.0,69.231,50.0,29.32,1,0,-20.0,-19.231,-19.231,-8.12
1998,68.0,75.0,61.538,26.32,62.0,76.923,46.154,26.846,12,0,6.0,-1.923,15.384,-0.526
1998,54.0,61.538,46.154,27.038,27.0,46.154,7.692,20.808,11,0,27.0,15.384,38.462,6.23
1998,52.0,66.667,38.462,28.08,40.0,53.846,25.0,22.84,13,0,12.0,12.821,13.462,5.24
1998,32.0,50.0,15.385,18.72,27.0,53.846,0.0,18.885,-30,1,5.0,-3.846,15.385,-0.165
1998,40.0,53.846,25.0,22.84,40.0,50.0,30.769,21.2,16,0,0.0,3.846,-5.769,1.64
1998,62.0,76.923,46.154,26.846,65.0,69.231,61.538,29.0,-6,1,-3.0,7.692,-15.384,-2.154
1998,27.0,46.154,7.692,20.808,32.0,50.0,15.385,18.72,-13,1,-5.0,-3.846,-7.693,2.088
1998,73.0,92.308,53.846,29.654,54.0,84.615,23.077,27.654,13,0,19.0,7.693,30.769,2.0
1998,27.0,53.846,0.0,18.885,52.0,66.667,38.462,28.08,-8,1,-25.0,-12.821,-38.462,-9.195
1998,60.0,69.231,50.0,29.32,54.0,61.538,46.154,27.038,14,0,6.0,7.693,3.846,2.282
1998,62.0,76.923,46.154,26.846,60.0,69.231,50.0,29.32,-8,1,2.0,7.692,-3.846,-2.474
1998,40.0,50.0,30.769,21.2,73.0,92.308,53.846,29.654,-5,1,-33.0,-42.308,-23.077,-8.454
